sp	class	stage_ref	hab	LT	Ctmax	z	r2	Ref
Cydia_pomonella	Insecta	last_instar	terrestrial	100	53.96	4.35	0.996	TangEA2007_Table_6.3
Plodia_interpunctella	Insecta	last_instar	terrestrial	100	51.5	3.85	0.998	TangEA2007_Table_6.3
Amyelois_transitella	Insecta	last_instar	terrestrial	100	54.58	3.85	0.987	TangEA2007_Table_6.3
Ceratitis_capitata	Insecta	last_instar	terrestrial	100	51.23	3.33	0.999	TangEA2007_Table_6.3
Anastrepha_ludens	Insecta	last_instar	terrestrial	100	50.17	3.45	0.997	TangEA2007_Table_6.3
Tribolium_castaneum	Insecta	last_instar	terrestrial	100	52.34	2.44	0.993	TangEA2007_Table_6.3
Bactrocera_latifrons	Insecta	egg	terrestrial	100	50.14	2.98	0.947	ArmstrongEA2009_Table_5
Ceratitis_capitata	Insecta	egg	terrestrial	100	50.22	3.16	0.986	ArmstrongEA2009_Table_5
Bactrocera_cucurbitae	Insecta	egg	terrestrial	100	49.24	3.03	0.994	ArmstrongEA2009_Table_5
Bactrocera_dorsalis	Insecta	egg	terrestrial	100	50.01	3.21	0.997	ArmstrongEA2009_Table_5
Bactrocera_latifrons	Insecta	third_instar	terrestrial	100	50.66	3.7	0.997	ArmstrongEA2009_Table_6
Ceratitis_capitata	Insecta	third_instar	terrestrial	100	50.25	3.03	0.979	ArmstrongEA2009_Table_6
Ceratitis_capitata	Insecta	third_instar	terrestrial	100	49.71	3.17	0.977	ArmstrongEA2009_Table_6
Bactrocera_cucurbitae	Insecta	third_instar	terrestrial	100	50.67	3.87	0.998	ArmstrongEA2009_Table_6
Bactrocera_dorsalis	Insecta	third_instar	terrestrial	100	50.66	3.06	0.971	ArmstrongEA2009_Table_6
Stegobium_paniceum	Insecta	first_instar	terrestrial	50	61.57	6.47	0.936	AbdelghanyEA2010_Table3
Cataglyphis_rosenhaueri	Insecta	adult	terrestrial	100	53.53	3.92	0.935	Cerda&Retana2000_Fig3
Cataglyphis_velox	Insecta	adult	terrestrial	100	60.03	6.26	0.959	Cerda&Retana2000_Fig3
Drosophila_subobscura	Insecta	adult	terrestrial	50	41.4	3.93	0.988	Maynard-Smith1957_Fig1
Cimex_lectularius	Insecta	adult	terrestrial	100	48.84	4	0.995	PereiraEA2009_Fig2
Daphnia_magna	Branchiopoda	adult	aquatic	50	42.16	3.13	0.937	Kivivuori&Lahdes1996_Fig2
Anopheles_gambiae	Insecta	egg	aquatic	100	48.59	3.04	0.991	HuangEA2006_Table1
Drosophila_melanogaster	Insecta	third_instar	terrestrial	50	44.05	3.4	0.998	FederEA1997_Fig7
Ameiurus_nebulosus	Actinopterygii	adult	aquatic	50	36.4	1.35	0.987	Brett1956_Fig2
Semotilus_atromaculatus	Actinopterygii	adult	aquatic	50	35.86	1.9	0.969	Brett1956_Fig2
Rhinichthys_atratulus	Actinopterygii	adult	aquatic	50	34.57	1.32	0.984	Brett1956_Fig2
Salmo_salar	Actinopterygii	adult	aquatic	50	32.52	1.78	0.988	Brett1956_Fig2
Salvelinus_frontinalis	Actinopterygii	adult	aquatic	50	31.94	2	0.993	Brett1956_Fig2
Oncorhynchus_tshawytscha	Actinopterygii	adult	aquatic	50	30.15	1.34	0.955	Brett1956_Fig2
Cristivomer_namaycush	Actinopterygii	adult	aquatic	50	29.36	1.47	0.993	Brett1956_Fig2
Porcellio_scaber	Malacostraca	adult	terrestrial	50	42.71	3.05	0.885	CooperEA2008_Fig2
Deleatidium_sp	Insecta	larvae	aquatic	50	48.84	7	0.997	QuinnEA1994_Table1
Sephlebia_dentata	Insecta	larvae	aquatic	50	44.23	5.48	0.999	QuinnEA1994_Table1
Aoteapsyche_colonica	Insecta	larvae	aquatic	50	37.91	3.18	0.992	QuinnEA1994_Table1
Pyconocentria_evecta	Insecta	larvae	aquatic	50	59.58	9.3	0.964	QuinnEA1994_Table1
Sphaerium_novaezelandiae	Bivalvia	adult	aquatic	50	44.99	3.84	0.994	QuinnEA1994_Table1
Paratya_curvirostris	Malacostraca	larvae	aquatic	50	36.31	2.83	0.999	QuinnEA1994_Table1
Paracalliope_fluviatilis	Malacostraca	larvae	aquatic	50	46.07	5.81	0.972	QuinnEA1994_Table1
Lumbriculus_variegatus	Clitellata	adult	aquatic	50	48.67	5.81	0.972	QuinnEA1994_Table1
