vial ,t_coma,round,assay_temp,group,log t_coma
1,318.44,1,35,bip,2.503027615
2,206.27,1,35,bip,2.314436069
3,227.18,1,35,bip,2.356370095
4,304.17,1,35,bip,2.483116378
6,182,1,35,bip,2.260071388
7,271.59,1,35,bip,2.433913775
9,315.01,1,35,bip,2.498324341
10,287.4,1,35,bip,2.458486764
11,140.06,1,35,rub,2.146314122
12,131.3,1,35,rub,2.118264726
13,150.51,1,35,rub,2.177565356
14,182,1,35,rub,2.260071388
15,87.41,1,35,rub,1.94156112
16,190.11,1,35,rub,2.279004962
17,130.15,1,35,rub,2.114444172
18,159.51,1,35,rub,2.202787915
19,159.51,1,35,rub,2.202787915
20,151.38,1,35,rub,2.180068501
23,274,1,35,sim,2.437750563
27,214.31,1,35,sim,2.331042436
29,261.37,1,35,sim,2.417255738
30,313.14,1,35,sim,2.495738547
31,255.29,1,35,ps,2.407033803
32,243,1,35,ps,2.385606274
33,255.29,1,35,ps,2.407033803
34,255.29,1,35,ps,2.407033803
35,271.59,1,35,ps,2.433913775
36,104.49,1,35,ps,2.019074729
37,182,1,35,ps,2.260071388
39,190.1,1,35,ps,2.278982117
40,227.18,1,35,ps,2.356370095
41,119.43,1,35,sulf,2.077113432
42,112.1,1,35,sulf,2.049605613
43,150.34,1,35,sulf,2.177074546
44,130.25,1,35,sulf,2.114777732
45,111.26,1,35,sulf,2.046339056
46,139.54,1,35,sulf,2.144698719
47,130.59,1,35,sulf,2.115909922
48,195.05,1,35,kik,2.290145955
49,213,1,35,kik,2.328379603
50,189.57,1,35,kik,2.27776961
51,255.29,1,35,kik,2.407033803
52,255.29,1,35,kik,2.407033803
53,206.46,1,35,kik,2.314835923
54,182,1,35,kik,2.260071388
55,206.11,1,35,kik,2.314099063
56,182,1,35,kik,2.260071388
57,161.1,1,35,bir,2.20709554
58,151.17,1,35,bir,2.179465613
59,151.55,1,35,bir,2.180555941
60,160.5,1,35,bir,2.205475037
61,164.02,1,35,bir,2.214896808
62,162.45,1,35,bir,2.210719716
63,182,1,35,bir,2.260071388
64,182,1,35,bir,2.260071388
65,159.44,1,35,bir,2.202597286
66,190.11,1,35,bir,2.279004962
72,255.29,1,35,bip,2.407033803
74,273.43,1,35,bip,2.436846162
75,315.01,1,35,bip,2.498324341
76,243,1,35,bip,2.385606274
77,274,1,35,bip,2.437750563
78,160.32,1,35,bip,2.204987704
